iso3_d,trade_actual,trade_predicted,n_years,gdp_d_last,potential_ratio,gap_usd,gap_pct,classification
UGA,10651597.304722223,59055275.612643786,18,25995031850.1545,5.5442647636014675,48403678.30792156,454.42647636014675,Sous-exploité
CYP,17059390.078277778,65447896.12255894,18,22638608224.1301,3.836473392205016,48388506.044281155,283.6473392205015,Sous-exploité
NPL,6383835.118277778,52024462.70788343,18,25180583769.9244,8.149405763775196,45640627.58960565,714.9405763775196,Sous-exploité
OMN,84530900.28977779,128461967.13939613,18,70597919375.8127,1.5197042347711855,43931066.849618345,51.970423477118544,Sous-exploité
MKD,0.0,40871079.89271795,18,11279509013.9119,40871079.89271795,40871079.89271795,4087107989.271795,Sous-exploité
ZWE,5274002.094666666,45466623.43880448,18,22813010116.1292,8.62089597665928,40192621.34413781,762.089597665928,Sous-exploité
BRN,5318578.7675,44340114.627594545,18,12128104859.1498,8.336835189607736,39021535.86009455,733.6835189607738,Sous-exploité
EGY,324814307.97866666,362906914.2642357,18,235369129337.71103,1.117275025606541,38092606.28556901,11.727502560654095,Équilibre
GNQ,4854206.128777778,42626728.91986492,18,12200914929.5961,8.781400663469094,37772522.79108714,778.1400663469094,Sous-exploité
GEO,12853635.904555555,50350871.1548281,18,16242956764.2957,3.9172473476538157,37497235.25027254,291.7247347653815,Sous-exploité
TUN,68813611.59816666,105669603.56089245,18,39813383483.5083,1.5355915945517342,36855991.96272579,53.55915945517341,Sous-exploité
SLV,37011627.17005555,72075544.1436669,18,24928000000.0,1.9473757209458757,35063916.97361134,94.73757209458756,Sous-exploité
KHM,8591182.227722222,43577347.20894934,18,22180376505.7284,5.07233417402473,34986164.98122712,407.2334174024731,Sous-exploité
MOZ,22492556.405500002,56966345.46506238,18,13219084261.3664,2.5326754521834904,34473789.05956238,153.26754521834903,Sous-exploité
ZMB,22490374.80238889,56963570.693164155,18,25868142076.7897,2.53279774986736,34473195.89077526,153.279774986736,Sous-exploité
BHR,35714022.62633333,70125189.97239968,18,35432686170.2128,1.963519783422371,34411167.34606635,96.35197834223709,Sous-exploité
PSE,0.0,33417356.031361096,18,14498100000.0,33417356.031361096,33417356.031361096,3341735603.1361094,Sous-exploité
MUS,4296429.509777778,36913458.61008575,18,13259351418.4459,8.591659312943086,32617029.10030797,759.1659312943087,Sous-exploité
GTM,100570867.5105,132464994.58840694,18,75620081928.17,1.3171308736556047,31894127.077906936,31.713087365560472,Sous-exploité
ARM,8469841.924611112,39444788.96511798,18,11527458565.7334,4.657086792907185,30974947.04050687,365.70867929071846,Sous-exploité
NAM,6137181.697555555,36562058.56309901,18,13566192144.4614,5.957467183619757,30424876.865543455,495.7467183619757,Sous-exploité
GAB,14541435.646277778,44690997.77032,18,14892609693.1667,3.073355262673786,30149562.12404222,207.3355262673786,Sous-exploité
HND,34371599.66238889,63879340.21755176,18,23136232229.6069,1.8584919190552456,29507740.55516287,85.84919190552456,Sous-exploité
MDA,1903508.8405555557,30604049.996771052,18,9669759987.026327,16.07770310530262,28700541.156215496,1507.7703105302623,Sous-exploité
MLI,9698417.3475,37885425.818889804,18,15337740140.8637,3.906351362437056,28187008.471389804,290.6351362437056,Sous-exploité
LAO,4021352.2245555553,30698444.792736914,18,16853087485.4118,7.63386121844369,26677092.56818136,663.386121844369,Sous-exploité
MWI,3954899.297166667,30546791.109736588,18,6303292264.18905,7.723784808280869,26591891.81256992,672.3784808280869,Sous-exploité
TCD,7884264.324166667,34461268.14077126,18,9975692095.40855,4.370892035562706,26577003.816604596,337.08920355627055,Sous-exploité
ALB,21576302.291222222,47146975.7277361,18,13025064966.5784,2.185127696645067,25570673.43651388,118.51276966450672,Sous-exploité
TJK,2741287.8026111107,28009404.607305747,18,7157865188.25222,10.217608155052687,25268116.804694638,921.7608155052687,Sous-exploité
BEN,11627491.159222223,36254788.452638015,18,12701656930.6889,3.118023308397264,24627297.293415792,211.8023308397264,Sous-exploité
SEN,27915232.064722225,51601277.02147627,18,21081669869.9833,1.8484989450145821,23686044.956754044,84.84989450145821,Sous-exploité
MNE,2208938.8623333336,24754546.5933608,12,4844592066.71174,11.2065331528516,22545607.731027465,1020.65331528516,Sous-exploité
MDG,16301045.031388888,38093197.71875997,18,13176313593.5509,2.336856173663017,21792152.687371083,133.6856173663017,Sous-exploité
KGZ,6723299.925777778,27066888.032316327,18,7702934800.12836,4.025833791608683,20343588.10653855,302.5833791608683,Sous-exploité
